label,value
Buntekuh (Stadtteil),Buntekuh (Stadtteil)
Burgtor (Bezirk),Burgtor (Bezirk)
Dänischburg (Bezirk),Dänischburg (Bezirk)
Dornbreite (Bezirk),Dornbreite (Bezirk)
Eichholz (Bezirk),Eichholz (Bezirk)
Falkenfeld/Vorwerk (Bezirk),Falkenfeld/Vorwerk (Bezirk)
Groß Steinrade (Bezirk),Groß Steinrade (Bezirk)
Herrenwyk (Bezirk),Herrenwyk (Bezirk)
Holstentor Nord (Bezirk),Holstentor Nord (Bezirk)
Hüxtertor (Bezirk),Hüxtertor (Bezirk)
Innenstadt (Stadtteil),Innenstadt (Stadtteil)
Karlshof (Bezirk),Karlshof (Bezirk)
Kücknitz (Stadtteil),Kücknitz (Stadtteil)
Kücknitz/Pöppendorf (Bezirk),Kücknitz/Pöppendorf (Bezirk)
Lübeck (Gesamtstadt),Lübeck (Gesamtstadt)
Marli/Brandenbaum (Bezirk),Marli/Brandenbaum (Bezirk)
Moisling (Stadtteil),Moisling (Stadtteil)
Schlutup (Stadtteil),Schlutup (Stadtteil)
St. Gertrud (Stadtteil),St. Gertrud (Stadtteil)
St. Jürgen (Stadtteil),St. Jürgen (Stadtteil)
St. Jürgen Land (Bezirk),St. Jürgen Land (Bezirk)
St. Lorenz Nord (Stadtteil),St. Lorenz Nord (Stadtteil)
St. Lorenz Süd (Stadtteil),St. Lorenz Süd (Stadtteil)
Strecknitz (Bezirk),Strecknitz (Bezirk)
Travemünde (Stadtteil),Travemünde (Stadtteil)
