jahr,raum,einwohner,kinder,erwachsene,aeltere,maenner,frauen,deutsche,auslaender,tuerken,syrer,ukrainer,polen,iraker,afghanen,bulgaren,rumaenen,russen,italiener,haushalte,einpersonenhaushalte,paare_ohne_kinder,paare_mit_kindern,alleinerziehende,sonstige_haushalte,arbeitslosengeld,buergergeld_direkt,buergergeld_gemeinschaft,grundsicherung,lebensunterhalt,asylbewerber,mindestsicherung
2022,Buntekuh (Stadtteil),11437,2360,6606,2471,5619,5818,9000,2437,636,345,145,501,551,124,82,73,189,38,5493,2318,1288,1145,307,435,120,561,2218,398,39,133,2788
2022,Burgtor (Bezirk),8017,1073,4388,2556,3728,4289,7572,445,63,35,71,108,15,10,11,17,37,29,4543,2313,1136,656,136,302,50,110,330,113,28,15,486
2022,Dornbreite (Bezirk),7814,1364,4663,1787,3788,4026,6874,940,163,156,89,218,55,43,22,24,117,24,4080,1890,934,709,223,324,72,188,787,267,19,30,1103
2022,Dänischburg (Bezirk),4248,693,2593,962,2153,2095,3858,390,85,64,30,90,6,21,21,37,21,7,2006,703,567,415,82,239,36,66,219,51,7,26,303
2022,Eichholz (Bezirk),7573,1445,4295,1833,3677,3896,6748,825,158,130,54,210,41,79,24,40,63,28,3909,1889,786,688,245,301,80,268,1024,207,35,53,1319
2022,Falkenfeld/Vorwerk (Bezirk),10569,1813,6535,2221,5223,5346,8886,1683,513,204,246,308,108,49,67,33,284,38,5489,2617,1162,941,326,443,114,409,1594,547,38,21,2200
2022,Groß Steinrade (Bezirk),3812,788,2342,682,1895,1917,3604,208,43,13,50,55,18,3,11,10,24,7,1652,485,441,520,52,154,44,31,122,25,3,6,156
2022,Herrenwyk (Bezirk),4066,693,2411,962,1936,2130,3496,570,306,44,45,126,15,5,25,15,35,6,2117,1025,446,379,121,146,47,116,455,130,18,10,613
2022,Holstentor Nord (Bezirk),21606,2912,14832,3862,10691,10915,17710,3896,825,446,297,500,210,163,358,246,194,130,13147,7885,2352,1484,642,784,273,897,2705,570,88,149,3512
2022,Hüxtertor (Bezirk),27736,3778,17364,6594,12843,14893,25358,2378,234,242,266,403,125,106,117,90,101,95,16591,9515,3327,2097,662,990,255,431,1395,448,78,76,1997
2022,Innenstadt (Stadtteil),14228,1462,10522,2244,7111,7117,11663,2565,316,248,320,175,92,87,79,103,89,147,9745,6823,1466,732,298,426,186,525,1339,463,57,72,1931
2022,Karlshof (Bezirk),6052,1015,3501,1536,2957,3095,5653,399,33,23,79,99,12,14,29,14,21,28,3114,1363,782,590,133,246,59,114,313,96,14,4,427
2022,Kücknitz (Stadtteil),18559,3118,11145,4296,9042,9517,15971,2588,766,308,171,535,102,100,96,144,166,58,9651,4483,2162,1646,545,815,194,530,2096,484,69,161,2810
2022,Kücknitz/Pöppendorf (Bezirk),10245,1732,6141,2372,4953,5292,8617,1628,375,200,96,319,81,74,50,92,110,45,5528,2755,1149,852,342,430,111,348,1422,303,44,125,1894
2022,Lübeck (Gesamtstadt),222077,33661,137234,51182,107323,114754,192320,29757,5390,3346,3053,5420,1909,1333,1429,1290,1985,961,125301,66929,26266,17717,5923,8466,2289,6671,22841,6035,781,1294,30951
2022,Marli/Brandenbaum (Bezirk),20344,2745,12833,4766,9660,10684,17874,2470,328,251,295,632,109,134,111,138,190,83,12417,7323,2290,1319,701,784,241,883,2753,711,94,46,3604
2022,Moisling (Stadtteil),11115,2183,6575,2357,5454,5661,8532,2583,480,410,336,452,148,149,145,128,164,35,5607,2551,1188,973,409,486,125,597,2241,527,53,125,2946
2022,Schlutup (Stadtteil),5782,941,3433,1408,2853,2929,5180,602,51,97,24,111,10,32,66,16,7,10,2932,1258,730,530,159,255,49,112,436,100,21,17,574
2022,St. Gertrud (Stadtteil),41986,6278,25017,10691,20022,21964,37847,4139,582,439,499,1049,177,237,175,209,311,168,23983,12888,4994,3253,1215,1633,430,1375,4420,1127,171,118,5836
2022,St. Jürgen (Stadtteil),45959,7283,28709,9967,21727,24232,41550,4409,425,392,500,763,213,174,160,157,282,155,25515,13257,5476,4095,1073,1614,358,674,2266,677,120,220,3283
2022,St. Jürgen Land (Bezirk),3853,675,2321,857,1914,1939,3535,318,27,32,73,69,16,13,3,11,23,7,1769,586,520,421,64,178,9,57,179,25,9,58,271
2022,St. Lorenz Nord (Stadtteil),43801,6877,28372,8552,21597,22204,37074,6727,1544,819,682,1081,391,255,458,313,619,199,24368,12877,4889,3654,1243,1705,503,1525,5208,1409,148,206,6971
2022,St. Lorenz Süd (Stadtteil),15699,1985,10619,3095,7773,7926,13111,2588,492,215,169,539,170,113,148,116,127,81,9882,6188,1728,972,451,543,186,619,2089,575,75,82,2821
2022,Strecknitz (Bezirk),14370,2830,9024,2516,6970,7400,12657,1713,164,118,161,291,72,55,40,56,158,53,7155,3156,1629,1577,347,446,94,186,692,204,33,86,1015
2022,Travemünde (Stadtteil),13511,1174,6236,6101,6125,7386,12392,1119,98,73,207,214,55,62,20,31,31,70,8125,4286,2345,717,223,554,138,153,528,267,26,149,970
2022,null,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,11,21
2021,Buntekuh (Stadtteil),11177,2291,6402,2484,5506,5671,8934,2243,611,315,68,510,514,115,80,65,174,35,5366,2262,1281,1107,281,435,106,528,2242,354,39,128,2763
2021,Burgtor (Bezirk),8034,1099,4379,2556,3751,4283,7655,379,69,36,29,107,16,11,11,8,38,33,4483,2267,1095,687,114,320,59,103,317,105,18,15,455
2021,Dornbreite (Bezirk),7782,1365,4630,1787,3763,4019,6897,885,153,142,61,220,45,39,22,21,123,24,4041,1855,932,733,220,301,70,172,826,227,28,41,1122
2021,Dänischburg (Bezirk),4266,704,2603,959,2167,2099,3917,349,85,58,11,85,5,21,16,38,17,6,2010,699,577,416,84,234,17,63,199,45,7,36,287
2021,Eichholz (Bezirk),7546,1467,4264,1815,3682,3864,6778,768,161,102,24,213,37,75,21,35,61,29,3832,1777,817,718,226,294,67,283,1098,188,24,36,1346
2021,Falkenfeld/Vorwerk (Bezirk),10219,1760,6266,2193,5064,5155,8781,1438,504,167,107,314,109,43,59,21,273,36,5295,2525,1109,939,294,428,103,396,1595,459,41,22,2117
2021,Groß Steinrade (Bezirk),3752,751,2319,682,1859,1893,3593,159,40,13,3,55,17,5,12,9,26,6,1630,476,441,514,51,148,29,4,74,12,3,9,96
2021,Herrenwyk (Bezirk),4045,700,2390,955,1930,2115,3517,528,309,42,10,125,13,5,21,18,42,6,2101,993,464,384,117,143,45,117,473,113,20,17,623
2021,Holstentor Nord (Bezirk),21510,2895,14764,3851,10628,10882,17922,3588,845,418,61,497,215,131,305,254,192,130,12935,7718,2374,1523,568,752,252,840,2719,507,87,154,3467
2021,Hüxtertor (Bezirk),27544,3727,17287,6530,12733,14811,25499,2045,218,218,59,426,100,91,124,92,94,101,16399,9349,3328,2101,613,1008,267,387,1236,390,77,86,1789
2021,Innenstadt (Stadtteil),14053,1432,10412,2209,7067,6986,11731,2322,319,265,59,181,79,81,56,100,79,169,9633,6802,1413,729,265,424,179,488,1303,402,52,76,1833
2021,Karlshof (Bezirk),5958,985,3456,1517,2911,3047,5645,313,32,21,10,90,21,11,22,15,19,29,3023,1306,764,588,105,260,57,97,284,82,10,4,380
2021,Kücknitz (Stadtteil),18528,3147,11081,4300,9043,9485,16139,2389,781,292,42,535,99,94,81,134,167,59,9602,4435,2171,1682,518,796,169,540,2229,453,72,203,2957
2021,Kücknitz/Pöppendorf (Bezirk),10217,1743,6088,2386,4946,5271,8705,1512,387,192,21,325,81,68,44,78,108,47,5491,2743,1130,882,317,419,107,360,1557,295,45,150,2047
2021,Lübeck (Gesamtstadt),220056,33229,136010,50817,106471,113585,193390,26666,5341,3072,823,5453,1810,1217,1301,1237,1933,993,123490,65723,26097,17915,5391,8364,2131,6217,22577,5363,745,1363,30048
2021,Marli/Brandenbaum (Bezirk),19988,2642,12638,4708,9475,10513,17884,2104,330,193,63,615,85,120,108,121,192,79,12099,7066,2317,1322,636,758,226,792,2650,651,88,49,3438
2021,Moisling (Stadtteil),10852,2043,6503,2306,5352,5500,8624,2228,481,379,93,466,124,121,131,128,148,35,5547,2589,1156,976,348,478,139,552,2187,483,62,98,2830
2021,Schlutup (Stadtteil),5771,949,3407,1415,2838,2933,5215,556,46,94,5,104,4,19,72,19,10,11,2904,1226,730,535,141,272,29,113,444,91,15,18,568
2021,St. Gertrud (Stadtteil),41526,6193,24737,10596,19819,21707,37962,3564,592,352,126,1025,159,217,162,179,310,170,23437,12416,4993,3315,1081,1632,409,1275,4349,1026,140,104,5619
2021,St. Jürgen (Stadtteil),45752,7242,28652,9858,21678,24074,41828,3924,390,370,96,797,211,168,160,170,262,165,25221,13035,5453,4126,991,1616,342,583,2081,588,104,257,3030
2021,St. Jürgen Land (Bezirk),3871,676,2354,841,1939,1932,3590,281,18,32,3,72,38,27,3,10,24,4,1780,602,516,424,64,174,18,37,152,16,3,87,258
2021,St. Lorenz Nord (Stadtteil),43263,6771,27979,8513,21314,21949,37193,6070,1542,740,231,1086,386,218,398,305,614,196,23901,12574,4856,3709,1133,1629,454,1412,5214,1205,157,226,6802
2021,St. Lorenz Süd (Stadtteil),15692,1965,10728,2999,7723,7969,13293,2399,497,192,74,548,143,110,135,115,127,83,9828,6163,1694,1009,418,544,199,612,2061,528,85,81,2755
2021,Strecknitz (Bezirk),14337,2839,9011,2487,7006,7331,12739,1598,154,120,37,299,73,50,35,68,144,60,7042,3084,1609,1601,314,434,57,159,693,182,24,84,983
2021,Travemünde (Stadtteil),13442,1196,6109,6137,6131,7311,12471,971,82,73,29,201,91,74,26,22,42,70,8051,4221,2350,727,215,538,105,114,467,231,19,172,889
2021,null,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2020,Buntekuh (Stadtteil),11137,2264,6346,2527,5470,5667,8946,2191,600,291,72,518,491,110,91,61,165,37,5330,2207,1281,1117,274,451,152,528,2330,348,52,125,2855
2020,Burgtor (Bezirk),7986,1087,4351,2548,3717,4269,7627,359,70,28,26,107,10,12,10,5,36,23,4426,2218,1051,685,119,353,88,115,351,101,19,10,481
2020,Dornbreite (Bezirk),7847,1395,4658,1794,3769,4078,6974,873,158,132,63,225,48,40,20,24,126,22,4034,1822,919,744,232,317,125,167,920,212,22,47,1201
